place,time,pace,age,gender,location,state,divPlace,divTot
1823,77.7,7.77,39.0,M,Alexandria VA,VA,267.0,1093.0
5029,98.6,9.86,33.0,F,Alexandria VA,VA,1117.0,2228.0
6945,119.43,11.943,53.0,M,Alexandria VA,VA,473.0,483.0
6669,104.97,10.497,27.0,F,Ashubrn VA,VA,2038.0,2782.0
3733,94.27,9.427,22.0,F,Colorado Springs CO,CO,491.0,974.0
6026,102.42,10.242,24.0,F,Laurel MD,MD,712.0,974.0
2144,87.85,8.785,33.0,F,Washington DC,DC,474.0,2228.0
1750,86.07,8.607000000000000,43.0,F,Arlington VA,VA,168.0,974.0
6132,102.82,10.282,30.0,F,Washington DC,DC,1362.0,2228.0
394,65.52,6.5520000000000000,33.0,M,Washington DC,DC,113.0,1490.0
863,79.93,7.9930000000000000,29.0,F,Fairfax VA,VA,283.0,2782.0
5167,99.1,9.91,29.0,F,Washington DC,DC,1599.0,2782.0
4498,96.9,9.69,37.0,F,Aberdeen MD,MD,599.0,1367.0
868,80.0,8.0,25.0,F,Austin TX,TX,285.0,2782.0
7340,108.12,10.812,31.0,F,West Springfield VA,VA,1642.0,2228.0
200,70.97,7.097,34.0,F,Alexandria VA,VA,48.0,2228.0
4130,90.18,9.018,43.0,M,South Riding VA,VA,529.0,931.0
1193,73.45,7.345,40.0,M,McLean VA,VA,127.0,931.0
1678,76.8,7.68,43.0,M,Westport CT,CT,204.0,931.0
5335,97.42,9.742,29.0,M,Washington DC,DC,1134.0,1457.0
1556,85.02,8.502,34.0,F,Severna Park MD,MD,347.0,2228.0
3974,95.15,9.515,28.0,F,Alexandria VA,VA,1227.0,2782.0
6862,116.85,11.685,28.0,M,Washington DC,DC,1407.0,1457.0
8203,113.77,11.377,35.0,F,Alexandria VA,VA,1122.0,1367.0
4952,94.98,9.498,44.0,M,Richmond VA,VA,645.0,931.0
549,76.83,7.683,42.0,F,Arlington VA,VA,42.0,974.0
5605,99.45,9.945,27.0,M,Washington DC,DC,1184.0,1457.0
3782,94.45,9.445,28.0,F,Kensington MD,MD,1159.0,2782.0
4350,91.5,9.15,24.0,M,Arnold MD,MD,223.0,347.0
876,80.1,8.01,32.0,F,Alexandria VA,VA,199.0,2228.0
5726,101.18,10.118,46.0,F,Middleburg VA,VA,310.0,554.0
1421,75.28,7.528,38.0,M,Smyrna DE,DE,212.0,1093.0
7562,109.35,10.935,22.0,F,Washington DC,DC,826.0,974.0
5715,100.35,10.035,33.0,M,Arlington VA,VA,1223.0,1490.0
6956,106.32,10.632,28.0,F,Boston MA,MA,2120.0,2782.0
5843,101.35,10.135,23.0,M,Washington DC,DC,301.0,347.0
5625,99.65,9.965,47.0,M,Fairfax Station VA,VA,488.0,648.0
835,79.75,7.975,16.0,F,Washington DC,DC,7.0,83.0
7841,111.15,11.115,29.0,F,Export PA,PA,2342.0,2782.0
7371,108.28,10.828,18.0,F,Fairfax VA,VA,66.0,83.0
6571,110.08,11.008,44.0,M,Upper Marlboro MD,MD,854.0,931.0
5903,101.87,10.187,27.0,F,Durham NC,NC,1798.0,2782.0
8990,120.68,12.068,46.0,F,Burke VA,VA,499.0,554.0
130,68.55,6.855,33.0,F,Washington DC,DC,35.0,2228.0
4809,97.83,9.783,31.0,F,Chantilly VA,VA,1070.0,2228.0
6737,113.65,11.365,41.0,M,Herndon VA,VA,880.0,931.0
5480,98.4,9.84,26.0,M,Bethesda MD,MD,1157.0,1457.0
5558,100.6,10.06,30.0,F,Ashburn VA,VA,1236.0,2228.0
3414,86.53,8.653000000000000,65.0,M,Burke VA,VA,16.0,79.0
4782,97.73,9.773,31.0,F,Atlanta GA,GA,1065.0,2228.0
2049,78.9,7.89,62.0,M,West Chester PA,PA,26.0,196.0
4134,90.25,9.025,38.0,M,New York NY,NY,642.0,1093.0
2413,81.0,8.1,36.0,M,Washington DC,DC,351.0,1093.0
4034,89.7,8.97,37.0,M,Boyds MD,MD,625.0,1093.0
993,71.93,7.193,27.0,M,Arlington VA,VA,238.0,1457.0
3619,93.87,9.387,26.0,F,Durham NC,NC,1113.0,2782.0
7557,109.3,10.93,25.0,F,Kennesaw GA,GA,2281.0,2782.0
5918,101.95,10.195,57.0,F,Arlington VA,VA,102.0,236.0
6226,103.22,10.322,40.0,F,Reston VA,VA,593.0,974.0
470,75.93,7.593,33.0,F,Centreville VA,VA,103.0,2228.0
6901,118.18,11.818,30.0,M,Fairfax VA,VA,1434.0,1490.0
6452,104.1,10.41,35.0,F,Ashburn VA,VA,870.0,1367.0
2987,91.43,9.143,32.0,F,Philadelphia PA,PA,652.0,2228.0
3824,94.58,9.458,57.0,F,Dumfries VA,VA,59.0,236.0
5942,102.37,10.237,30.0,M,Bethesda MD,MD,1265.0,1490.0
4547,92.52,9.252,36.0,M,Silver Spring MD,MD,701.0,1093.0
9506,131.33,13.133,55.0,F,Woodbridge VA,VA,229.0,236.0
3464,93.32,9.332,27.0,F,Arlington VA,VA,1081.0,2782.0
9711,145.67,14.567,33.0,F,Herndon VA,VA,2223.0,2228.0
2176,79.57,7.957000000000000,28.0,M,Washington DC,DC,521.0,1457.0
849,79.83,7.983,32.0,F,Bethesda MD,MD,194.0,2228.0
8348,114.67,11.467,45.0,F,Sykesville MD,MD,466.0,554.0
2877,90.98,9.098,43.0,F,Arlington VA,VA,273.0,974.0
9222,124.37,12.437,31.0,F,Washington DC,DC,2091.0,2228.0
5112,98.93,9.893,29.0,F,Washington DC,DC,1580.0,2782.0
5998,102.9,10.29,57.0,M,Woodbridge VA,VA,297.0,375.0
62,64.77,6.477,43.0,F,Arlington VA,VA,4.0,974.0
2492,81.58,8.158,46.0,M,New York NY,NY,220.0,648.0
220,62.32,6.232,40.0,M,Milwaukee WI,WI,19.0,931.0
4836,97.92,9.792,40.0,F,Wall NJ,NJ,456.0,974.0
1735,77.2,7.72,60.0,M,Woodside CA,CA,20.0,196.0
309,73.48,7.348,26.0,F,Arlington VA,VA,111.0,2782.0
3565,93.72,9.372,44.0,F,Woodbridge VA,VA,334.0,974.0
9475,130.42,13.042,32.0,F,Edgewater MD,MD,2160.0,2228.0
1136,82.17,8.217,29.0,F,Reston VA,VA,366.0,2782.0
947,80.63,8.063000000000000,51.0,F,Washington DC,DC,29.0,397.0
2915,83.98,8.398,34.0,M,Silver Spring MD,MD,645.0,1490.0
5489,100.32,10.032,50.0,F,Centreville VA,VA,175.0,397.0
433,75.47,7.5470000000000000,24.0,F,Washington DC,DC,62.0,974.0
1395,84.05,8.405,43.0,F,Vienna VA,VA,135.0,974.0
3487,86.9,8.69,29.0,M,Baltimore MD,MD,776.0,1457.0
3841,88.67,8.867,42.0,M,Burke VA,VA,485.0,931.0
2813,90.7,9.07,25.0,F,Pittsburgh PA,PA,887.0,2782.0
2463,89.18,8.918,30.0,F,Alexandria VA,VA,547.0,2228.0
1295,74.33,7.433,57.0,M,Herndon VA,VA,47.0,375.0
597,68.07,6.807,25.0,M,Washington DC,DC,154.0,1457.0
3602,93.8,9.38,38.0,F,Fort Worth TX,TX,488.0,1367.0
8400,115.1,11.51,31.0,F,McLean VA,VA,1902.0,2228.0
2850,90.87,9.087,27.0,F,Arlington VA,VA,898.0,2782.0
2225,88.15,8.815,48.0,F,Mullicahills NJ,NJ,111.0,554.0
1639,85.47,8.547,30.0,F,Arlington VA,VA,364.0,2228.0
9344,127.2,12.72,30.0,F,Arlington VA,VA,2125.0,2228.0
1329,83.55,8.355,23.0,F,North Bethesda MD,MD,174.0,974.0
4268,96.07,9.607,26.0,F,Washington DC,DC,1313.0,2782.0
2904,91.08,9.108,30.0,F,Washington DC,DC,633.0,2228.0
4009,89.53,8.953,29.0,M,Washington DC,DC,879.0,1457.0
4333,91.38,9.138,55.0,M,Exeter NH,NH,189.0,375.0
5046,98.67,9.867,32.0,F,Arlington VA,VA,1120.0,2228.0
402,75.02,7.502000000000000,38.0,F,Manassas VA,VA,51.0,1367.0
2939,84.25,8.425,58.0,M,Berwyn PA,PA,117.0,375.0
5336,99.78,9.978,31.0,F,Arlington VA,VA,1192.0,2228.0
1762,77.37,7.737,53.0,M,Reston VA,VA,100.0,483.0
7311,107.95,10.795,29.0,F,New York NY,NY,2214.0,2782.0
3119,91.93,9.193,36.0,F,Chantilly VA,VA,410.0,1367.0
2154,87.88,8.788,28.0,F,Alexandria VA,VA,683.0,2782.0
5515,98.68,9.868,33.0,M,Wasington DC,DC,1178.0,1490.0
408,75.1,7.51,50.0,F,Arlington VA,VA,11.0,397.0
1201,82.63,8.263,26.0,F,Washington DC,DC,389.0,2782.0
3033,84.65,8.465,27.0,M,Arlington VA,VA,684.0,1457.0
1689,85.7,8.57,23.0,F,Washington DC,DC,222.0,974.0
1263,74.07,7.407,35.0,M,Fairfax VA,VA,190.0,1093.0
4657,93.2,9.32,32.0,M,Gaithersburg MD,MD,997.0,1490.0
3566,87.28,8.728,41.0,M,Madison WI,WI,460.0,931.0
4775,93.93,9.393,40.0,M,Alexandria VA,VA,628.0,931.0
7813,110.92,11.092,32.0,F,Arlington VA,VA,1758.0,2228.0
288,73.3,7.33,56.0,F,Potomac MD,MD,5.0,236.0
5882,101.8,10.18,41.0,F,Washington DC,DC,566.0,974.0
7568,109.43,10.943,44.0,F,Silver Spring MD,MD,736.0,974.0
6924,118.85,11.885,29.0,M,Washington DC,DC,1421.0,1457.0
1070,72.57,7.2570000000000000,43.0,M,Kensington MD,MD,115.0,931.0
5622,99.63,9.963,53.0,M,Vienna VA,VA,370.0,483.0
4935,98.28,9.828,30.0,F,Hardwick MA,MA,1105.0,2228.0
5657,99.92,9.992,36.0,M,Great Falls VA,VA,866.0,1093.0
3370,92.98,9.298,32.0,F,Washington DC,DC,726.0,2228.0
6891,106.02,10.602,22.0,F,Washington DC,DC,769.0,974.0
7150,107.3,10.73,25.0,F,Washington DC,DC,2177.0,2782.0
6556,109.8,10.98,45.0,M,Gainesville VA,VA,587.0,648.0
6374,107.33,10.733,66.0,M,Silver Spring MD,MD,53.0,79.0
7806,110.88,11.088,37.0,F,Alexandria VA,VA,1062.0,1367.0
3600,93.8,9.38,40.0,F,Silver Spring MD,MD,338.0,974.0
5219,99.33,9.933,27.0,F,Arlington VA,VA,1615.0,2782.0
2945,91.23,9.123,33.0,F,Ashburn VA,VA,644.0,2228.0
7931,111.75,11.175,33.0,F,Washington DC,DC,1780.0,2228.0
4919,94.82,9.482,62.0,M,Gaithersburg MD,MD,96.0,196.0
3203,85.45,8.545,44.0,M,Bethesda MD,MD,416.0,931.0
7649,109.93,10.993,53.0,F,Voorhees NJ,NJ,299.0,397.0
1235,82.87,8.287,36.0,F,Crofton MD,MD,152.0,1367.0
7490,108.93,10.893,20.0,F,Washington DC,DC,815.0,974.0
3167,85.27,8.527000000000000,30.0,M,Bethesda MD,MD,703.0,1490.0
5498,100.35,10.035,36.0,F,Oakton VA,VA,738.0,1367.0
4934,98.28,9.828,30.0,F,Washington DC,DC,1104.0,2228.0
8603,116.72,11.672,28.0,F,Santa Rosa CA,CA,2537.0,2782.0
1973,87.17,8.717,29.0,F,Washington DC,DC,631.0,2782.0
4719,97.53,9.753,29.0,F,Washington DC,DC,1470.0,2782.0
6508,109.12,10.912,47.0,M,Alexandria VA,VA,583.0,648.0
1688,76.85,7.685,36.0,M,Washington DC,DC,243.0,1093.0
8323,114.48,11.448,23.0,F,Washington DC,DC,887.0,974.0
4739,93.73,9.373,36.0,M,Bloomington IN,IN,736.0,1093.0
2688,90.18,9.018,31.0,F,Washington DC,DC,597.0,2228.0
1847,77.8,7.78,24.0,M,Washington DC,DC,112.0,347.0
6868,105.93,10.593,37.0,F,Fairfax VA,VA,930.0,1367.0
5319,97.33,9.733,30.0,M,Germantown MD,MD,1139.0,1490.0
5902,101.87,10.187,26.0,F,Arlington VA,VA,1797.0,2782.0
4474,92.17,9.217,48.0,M,Takoma Park MD,MD,392.0,648.0
3657,87.73,8.773,30.0,M,Washington DC,DC,807.0,1490.0
1450,84.37,8.437000000000000,27.0,F,Gastonia NC,NC,466.0,2782.0
4498,92.3,9.23,37.0,M,Rockville MD,MD,691.0,1093.0
3030,84.65,8.465,35.0,M,Springfield VA,VA,456.0,1093.0
1479,84.52,8.452,25.0,F,Washington DC,DC,476.0,2782.0
2217,88.12,8.812000000000000,34.0,F,Arlington VA,VA,492.0,2228.0
2160,79.45,7.945,66.0,M,Columbia MD,MD,7.0,79.0
4286,91.07,9.107,55.0,M,Chesapeake VA,VA,185.0,375.0
9651,138.32,13.832,27.0,F,Akron OH,OH,2771.0,2782.0
8878,119.43,11.943,45.0,F,Baltimore MD,MD,492.0,554.0
1674,76.77,7.677,26.0,M,Betheda MD,MD,404.0,1457.0
5563,100.6,10.06,26.0,F,Bethesda MD,MD,1716.0,2782.0
8650,117.17,11.717,32.0,F,Baltimore MD,MD,1957.0,2228.0
6488,104.25,10.425,38.0,F,Kensington MD,MD,875.0,1367.0
5152,96.28,9.628,50.0,M,Durham NC,NC,342.0,483.0
3662,93.98,9.398,50.0,F,Phoenixville PA,PA,119.0,397.0
8736,117.85,11.785,35.0,F,Alexandria VA,VA,1207.0,1367.0
8742,117.9,11.79,28.0,F,Alexandria VA,VA,2570.0,2782.0
5680,100.08,10.008,57.0,M,Bonfield IL,IL,271.0,375.0
4385,91.7,9.17,39.0,M,Quincy MA,MA,680.0,1093.0
2764,83.15,8.315,33.0,M,Falls Church VA,VA,614.0,1490.0
5381,97.72,9.772,32.0,M,New York NY,NY,1152.0,1490.0
1328,83.53,8.353,26.0,F,Long Beach NY,NY,431.0,2782.0
8239,114.02,11.402,37.0,F,Washington DC,DC,1131.0,1367.0
1341,83.63,8.363,41.0,F,Washington DC,DC,130.0,974.0
4302,91.18,9.118,24.0,M,Washington DC,DC,221.0,347.0
776,69.92,6.992000000000000,45.0,M,Alexandria VA,VA,60.0,648.0
6977,120.42,12.042,32.0,M,Alexandria VA,VA,1448.0,1490.0
7066,106.88,10.688,28.0,F,Washington DC,DC,2152.0,2782.0
5797,100.93,10.093,32.0,M,Arlington VA,VA,1237.0,1490.0
2195,79.67,7.967,38.0,M,Springfield VA,VA,320.0,1093.0
6251,105.75,10.575,44.0,M,Arlington VA,VA,812.0,931.0
3348,92.87,9.287,41.0,F,Reston VA,VA,313.0,974.0
6511,109.15,10.915,40.0,M,Sterling VA,VA,849.0,931.0
4318,96.2,9.62,28.0,F,Lake Village MN,MN,1332.0,2782.0
4313,96.2,9.62,35.0,F,Jamaica Plain MA,MA,576.0,1367.0
2068,87.57,8.757,26.0,F,Wilmington DE,DE,664.0,2782.0
7169,138.4,13.84,39.0,M,Waldorf MD,MD,1090.0,1093.0
362,74.48,7.448000000000000,28.0,F,Arlington VA,VA,125.0,2782.0
5113,96.02,9.602,38.0,M,Glen Burnie MD,MD,791.0,1093.0
2457,89.15,8.915,29.0,F,Washington DC,DC,775.0,2782.0
7995,112.2,11.22,38.0,F,Raleigh NC,NC,1090.0,1367.0
2379,80.83,8.083,31.0,M,Fairfax VA,VA,518.0,1490.0
6923,118.83,11.883,56.0,M,Reston VA,VA,351.0,375.0
3519,87.03,8.703,41.0,M,Alexandria VA,VA,450.0,931.0
7151,134.78,13.478,30.0,M,Brooklyn NY,NY,1484.0,1490.0
2213,79.82,7.982,31.0,M,Washington DC,DC,482.0,1490.0
481,76.0,7.6,32.0,F,Washington DC,DC,110.0,2228.0
8532,116.0,11.6,31.0,F,Washington DC,DC,1935.0,2228.0
5514,100.45,10.045,31.0,F,Washington DC,DC,1224.0,2228.0
8363,114.78,11.478,42.0,F,Highland MD,MD,821.0,974.0
656,78.03,7.803,29.0,F,Baltimore MD,MD,221.0,2782.0
2871,90.93,9.093,21.0,F,Frederick MD,MD,364.0,974.0
893,80.28,8.028000000000000,29.0,F,Washington DC,DC,290.0,2782.0
1814,77.63,7.763,52.0,M,Oakton VA,VA,106.0,483.0
9679,140.08,14.008,37.0,F,Richmond VA,VA,1355.0,1367.0
1117,82.05,8.205,32.0,F,Fairfax Station VA,VA,245.0,2228.0
6215,105.23,10.523,34.0,M,Washington DC,DC,1314.0,1490.0
8385,115.03,11.503,25.0,F,Bristow VA,VA,2477.0,2782.0
1540,84.92,8.492,28.0,F,Washington DC,DC,495.0,2782.0
5285,97.13,9.713,28.0,M,Washington DC,DC,1124.0,1457.0
4632,93.03,9.303,34.0,M,Falls Church VA,VA,990.0,1490.0
5930,101.98,10.198,28.0,F,Gaithersburg MD,MD,1812.0,2782.0
4512,96.95,9.695,25.0,F,Germantown MD,MD,1395.0,2782.0
2750,83.07,8.307,15.0,M,Glen Echo MD,MD,36.0,66.0
1074,72.6,7.26,35.0,M,Arlington VA,VA,157.0,1093.0
5380,99.93,9.993,35.0,F,Fredericksburg VA,VA,723.0,1367.0
3142,92.03,9.203,26.0,F,Cape May NJ,NJ,989.0,2782.0
2825,83.5,8.35,35.0,M,Laurel MD,MD,417.0,1093.0
1037,72.28,7.228,41.0,M,Greenbelt MD,MD,108.0,931.0
1816,77.65,7.765,50.0,M,Westminster MD,MD,107.0,483.0
6357,107.13,10.713,30.0,M,Philadelphia PA,PA,1336.0,1490.0
2820,83.45,8.345,39.0,M,Arlington VA,VA,415.0,1093.0
4973,95.08,9.508,26.0,M,Arlington VA,VA,1070.0,1457.0
3201,85.45,8.545,27.0,M,Derwood MD,MD,714.0,1457.0
4282,91.05,9.105,32.0,M,Linthicum Heights MD,MD,925.0,1490.0
3017,84.58,8.458,23.0,M,Washington DC,DC,166.0,347.0
754,79.08,7.908000000000000,47.0,F,Ellicott City MD,MD,38.0,554.0
5637,100.87,10.087,33.0,F,Columbia MD,MD,1253.0,2228.0
463,66.5,6.65,40.0,M,Washington DC,DC,41.0,931.0
1585,85.17,8.517000000000000,59.0,F,Silver Spring MD,MD,15.0,236.0
7459,108.77,10.877,25.0,F,Washington DC,DC,2255.0,2782.0
6209,105.18,10.518,60.0,M,Columbia MD,MD,147.0,196.0
799,70.17,7.017,41.0,M,Fort Washington MD,MD,84.0,931.0
2307,80.33,8.033,41.0,M,Washington DC,DC,292.0,931.0
5349,97.5,9.75,32.0,M,Centreville VA,VA,1147.0,1490.0
2576,82.05,8.205,52.0,M,White Hall MD,MD,159.0,483.0
2200,79.72,7.972,26.0,M,Arlington VA,VA,526.0,1457.0
3682,87.83,8.783,30.0,M,Charlotte NC,NC,812.0,1490.0
3766,88.25,8.825,32.0,M,Hyattsville MD,MD,832.0,1490.0
2186,79.65,7.965,38.0,M,Cockeysville MD,MD,317.0,1093.0
9134,122.87,12.287,28.0,F,Fairfax VA,VA,2661.0,2782.0
5439,98.08,9.808,33.0,M,Washington DC,DC,1167.0,1490.0
1239,82.87,8.287,31.0,F,Falls Church VA,VA,275.0,2228.0
4140,95.72,9.572,54.0,F,Fairport NY,NY,135.0,397.0
1649,76.62,7.662000000000000,39.0,M,Glen Echo MD,MD,238.0,1093.0
1977,78.45,7.845,37.0,M,Arlington VA,VA,290.0,1093.0
839,70.53,7.053,26.0,M,Falls Church VA,VA,206.0,1457.0
8257,114.08,11.408,42.0,F,Washington DC,DC,812.0,974.0
4008,95.22,9.522,39.0,F,Washington DC,DC,537.0,1367.0
1577,76.13,7.613000000000000,41.0,M,Annville PA,PA,188.0,931.0
996,81.17,8.117,32.0,F,Washington DC,DC,221.0,2228.0
480,75.97,7.597,20.0,F,Glen Burnie MD,MD,68.0,974.0
6237,105.55,10.555,42.0,M,Washington DC,DC,809.0,931.0
9280,125.85,12.585,29.0,F,Fairfax VA,VA,2691.0,2782.0
2931,84.13,8.413,36.0,M,Sykesville MD,MD,437.0,1093.0
6325,103.67,10.367,29.0,F,McLean VA,VA,1929.0,2782.0
1138,73.1,7.31,37.0,M,Arlington VA,VA,173.0,1093.0
6654,111.77,11.177,47.0,M,Washington DC,DC,599.0,648.0
2345,80.6,8.06,43.0,M,Falls Church VA,VA,300.0,931.0
3212,85.5,8.55,58.0,M,Rockville MD,MD,125.0,375.0
6785,105.47,10.547,29.0,F,Silver Spring DC,DC,2073.0,2782.0
4767,97.7,9.77,36.0,F,Alexandria VA,VA,637.0,1367.0
4439,91.98,9.198,38.0,M,Rockville MD,MD,685.0,1093.0
1030,81.37,8.137,26.0,F,Washington DC,DC,335.0,2782.0
1381,74.95,7.495,34.0,M,Arlington VA,VA,335.0,1490.0
5877,101.72,10.172,31.0,M,Lovettsville VA,VA,1254.0,1490.0
8903,119.72,11.972,29.0,F,Falls Church VA,VA,2607.0,2782.0
3182,92.22,9.222,55.0,F,Fort Belvoir VA,VA,47.0,236.0
3844,94.67,9.467,34.0,F,Yorktown Hts NY,NY,836.0,2228.0
5189,96.47,9.647,25.0,M,Washington DC,DC,1109.0,1457.0
6736,113.6,11.36,26.0,M,Potomac MD,MD,1383.0,1457.0
9594,134.88,13.488,30.0,F,Fairfax VA,VA,2195.0,2228.0
7003,106.53,10.653,27.0,F,Alexandria VA,VA,2133.0,2782.0
8636,117.07,11.707,33.0,F,Alexandria VA,VA,1954.0,2228.0
6291,103.52,10.352,28.0,F,Washington DC,DC,1918.0,2782.0
5790,101.43,10.143,37.0,F,Bel Air MD,MD,778.0,1367.0
4446,92.05,9.205,30.0,M,Washington DC,DC,963.0,1490.0
5456,100.18,10.018,33.0,F,Winchester VA,VA,1211.0,2228.0
9175,123.57,12.357,48.0,F,Alexandria VA,VA,512.0,554.0
4872,94.6,9.46,33.0,M,Washington DC,DC,1044.0,1490.0
6627,111.4,11.14,36.0,M,Washington DC,DC,1008.0,1093.0
6283,103.48,10.348,30.0,F,Alexandria VA,VA,1407.0,2228.0
1280,74.2,7.42,31.0,M,Alexandria VA,VA,307.0,1490.0
6034,103.2,10.32,22.0,M,Washington DC,DC,312.0,347.0
150,69.17,6.917000000000000,28.0,F,Washington DC,DC,60.0,2782.0
2600,82.22,8.222000000000000,36.0,M,Arlington VA,VA,374.0,1093.0
2465,89.18,8.918,28.0,F,Durham NC,NC,778.0,2782.0
8899,119.67,11.967,38.0,F,Reisterstown MD,MD,1232.0,1367.0
9218,124.35,12.435,32.0,F,Washington DC,DC,2087.0,2228.0
2927,84.08,8.408,42.0,M,Bethesda MD,MD,381.0,931.0
1798,86.28,8.628,26.0,F,Washington DC,DC,575.0,2782.0
6373,107.32,10.732,29.0,M,Arlington VA,VA,1321.0,1457.0
4019,95.27,9.527,32.0,F,Windsor Mill MD,MD,879.0,2228.0
4465,92.13,9.213,60.0,M,Great Falls VA,VA,79.0,196.0
588,77.25,7.725,33.0,F,Washington DC,DC,137.0,2228.0
2848,83.6,8.36,56.0,M,Bethesda MD,MD,107.0,375.0
6120,104.15,10.415,53.0,M,Elkridge MD,MD,407.0,483.0
4832,97.92,9.792,29.0,F,Chesterfield VA,VA,1502.0,2782.0
866,79.98,7.998000000000000,53.0,F,Gaithersburg MD,MD,26.0,397.0
1058,72.47,7.247000000000000,42.0,M,Bethesda MD,MD,112.0,931.0
5810,101.5,10.15,49.0,F,Hoboken NJ,NJ,321.0,554.0
6933,119.18,11.918,38.0,M,University Park MD,MD,1051.0,1093.0
9064,121.68,12.168,36.0,F,Watertown MA,MA,1257.0,1367.0
4688,93.4,9.34,34.0,M,Washington DC,DC,1002.0,1490.0
6856,105.87,10.587,23.0,F,Boston MA,MA,767.0,974.0
1363,74.87,7.487,29.0,M,Brookline MA,MA,319.0,1457.0
7494,108.97,10.897,26.0,F,Arlington VA,VA,2266.0,2782.0
626,77.77,7.777,26.0,F,Rockville MD,MD,211.0,2782.0
1808,77.6,7.76,32.0,M,Clifton VA,VA,409.0,1490.0
5521,98.72,9.872,52.0,M,Winchester VA,VA,364.0,483.0
6678,105.0,10.5,50.0,F,McLean VA,VA,226.0,397.0
4585,92.75,9.275,26.0,M,Arlington VA,VA,993.0,1457.0
2530,89.47,8.947000000000000,26.0,F,Washington DC,DC,799.0,2782.0
6664,104.93,10.493,41.0,F,State College PA,PA,648.0,974.0
1179,73.38,7.338000000000000,34.0,M,Arlington VA,VA,285.0,1490.0
4444,96.7,9.67,38.0,F,Arlington VA,VA,589.0,1367.0
4378,96.42,9.642,23.0,F,Northport NY,NY,555.0,974.0
489,76.08,7.608,52.0,F,Silver Spring MD,MD,13.0,397.0
41,63.25,6.325,28.0,F,Alexandria VA,VA,21.0,2782.0
2114,87.75,8.775,29.0,F,Washington DC,DC,674.0,2782.0
8177,113.52,11.352,26.0,F,Washington DC,DC,2418.0,2782.0
3815,88.55,8.855,49.0,M,Annapolis MD,MD,334.0,648.0
3672,87.77,8.777000000000000,58.0,M,Radnor PA,PA,143.0,375.0
6955,119.72,11.972,62.0,M,Potomac MD,MD,182.0,196.0
5520,98.72,9.872,36.0,M,Washington DC,DC,847.0,1093.0
7118,107.18,10.718,41.0,F,Purcellville VA,VA,695.0,974.0
2932,84.15,8.415,38.0,M,Weatherly PA,PA,438.0,1093.0
970,80.9,8.09,24.0,F,Arlington VA,VA,134.0,974.0
7110,130.63,13.063,73.0,M,Accokeek MD,MD,20.0,21.0
2143,87.83,8.783,26.0,F,New York NY,NY,682.0,2782.0
